6.12323399574e-17	-1.0	1.22464679915e-16	-2.0
[  2.83276945e-16]	[-1.]	[ -7.65713740e-16]	[-2.]
[  5.05321550e-16]	[-1.]	[ -7.65713740e-16]	[-2.]
[  7.27366155e-16]	[-1.]	[ -7.65713740e-16]	[-2.]
[  9.49410760e-16]	[-1.]	[ -7.65713740e-16]	[-2.]
[  1.17145536e-15]	[-1.]	[ -7.65713740e-16]	[-2.]
[  1.39349997e-15]	[-1.]	[ -7.65713740e-16]	[-2.]
[  1.61554457e-15]	[-1.]	[ -5.43669135e-16]	[-2.]
[  1.83758918e-15]	[-1.]	[ -3.21624530e-16]	[-2.]
[  1.83758918e-15]	[-1.]	[ -5.43669135e-16]	[-2.]
[  1.83758918e-15]	[-1.]	[ -5.43669135e-16]	[-2.]
[  1.83758918e-15]	[-1.]	[ -7.65713740e-16]	[-2.]
[  1.83758918e-15]	[-1.]	[ -5.43669135e-16]	[-2.]
[  1.83758918e-15]	[-1.]	[ -5.43669135e-16]	[-2.]
[  1.83758918e-15]	[-1.]	[ -3.21624530e-16]	[-2.]
[  1.61554457e-15]	[-1.]	[ -5.43669135e-16]	[-2.]
[  1.61554457e-15]	[-1.]	[ -9.95799250e-17]	[-2.]
[  1.39349997e-15]	[-1.]	[ -9.95799250e-17]	[-2.]
[  1.17145536e-15]	[-1.]	[ -9.95799250e-17]	[-2.]
[  7.27366155e-16]	[-1.]	[ -5.43669135e-16]	[-2.]
[  5.05321550e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[  2.83276945e-16]	[-1.]	[ -9.95799250e-17]	[-2.]
[ -1.60812265e-16]	[-1.]	[ -3.21624530e-16]	[-2.]
[ -3.82856870e-16]	[-1.]	[ -9.95799250e-17]	[-2.]
[ -6.04901475e-16]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.04899068e-15]	[-1.]	[ -9.95799250e-17]	[-2.]
[ -1.27103529e-15]	[-1.]	[ -9.95799250e-17]	[-2.]
[ -1.49307989e-15]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.71512450e-15]	[-1.]	[  1.22464680e-16]	[-2.]
[ -1.93716910e-15]	[-1.]	[  1.22464680e-16]	[-2.]
[ -2.15921371e-15]	[-1.]	[  1.22464680e-16]	[-2.]
[ -2.38125831e-15]	[-1.]	[  1.22464680e-16]	[-2.]
[ -2.38125831e-15]	[-1.]	[  3.44509285e-16]	[-2.]
[ -2.38125831e-15]	[-1.]	[  5.66553890e-16]	[-2.]
[ -2.38125831e-15]	[-1.]	[  5.66553890e-16]	[-2.]
[ -2.38125831e-15]	[-1.]	[  5.66553890e-16]	[-2.]
[ -2.38125831e-15]	[-1.]	[  3.44509285e-16]	[-2.]
[ -2.15921371e-15]	[-1.]	[  5.66553890e-16]	[-2.]
[ -1.93716910e-15]	[-1.]	[  7.88598495e-16]	[-2.]
[ -1.71512450e-15]	[-1.]	[  7.88598495e-16]	[-2.]
[ -1.49307989e-15]	[-1.]	[  5.66553890e-16]	[-2.]
[ -1.04899068e-15]	[-1.]	[  1.01064310e-15]	[-2.]
[ -8.26946080e-16]	[-1.]	[  7.88598495e-16]	[-2.]
[ -3.82856870e-16]	[-1.]	[  1.01064310e-15]	[-2.]
[  6.12323400e-17]	[-1.]	[  1.23268770e-15]	[-2.]
[  5.05321550e-16]	[-1.]	[  1.23268770e-15]	[-2.]
[  7.27366155e-16]	[-1.]	[  1.01064310e-15]	[-2.]
[  1.17145536e-15]	[-1.]	[  1.01064310e-15]	[-2.]
[  1.61554457e-15]	[-1.]	[  1.23268770e-15]	[-2.]
[  2.05963378e-15]	[-1.]	[  1.23268770e-15]	[-2.]
